sample_id,setup,mae,sharp_f0,sharp_f15,sharp_ratio,sharp_mean
sample_000072,A,0.3924711942672729,270.3687928777561,147.71876127704977,0.5463602500301836,160.79387816431233
sample_000073,A,0.8859136700630188,238.98998304154725,242.74154843077062,1.0156975842312654,248.20157966318072
sample_000074,A,0.6699188351631165,247.69701974630357,201.58395875692366,0.8138327984865952,220.9722643189528
sample_000075,A,0.8374629020690918,240.69062828626483,162.72547859176993,0.6760773352514281,202.19729543748312
sample_000076,A,0.9342697262763976,234.40277126893403,212.8821335640177,0.9081894911548406,198.6320823159488
sample_000077,A,0.5755670070648193,302.45355044305325,197.95919488664717,0.654511063258024,197.56918314777081
sample_000078,A,0.4693903028964996,324.89660172607756,283.36085164785385,0.8721570190098733,247.2651174562634
sample_000079,A,0.4582409858703613,393.3572869287431,351.19137367274607,0.8928050536823144,303.89536661899416
sample_000080,A,0.6796048283576965,341.3898495843634,226.07163219656795,0.662209589628416,209.8574863084592
sample_000081,A,0.3049609363079071,213.45228521522137,175.21999207004907,0.8208859975117009,198.40471269906732
sample_000082,A,0.4609688520431518,320.9635434567556,179.80000516172498,0.5601882482517831,205.4264731676597
sample_000083,A,0.5873770713806152,276.4835367574916,229.87353228911752,0.8314185176629286,203.3816495358874
sample_000084,A,0.6464599967002869,224.2151110434532,142.5261335478723,0.6356669400406761,152.81162798482694
sample_000085,A,0.1938093453645706,274.2999643681943,144.06983428146685,0.5252273167927982,168.08449816439764
sample_000086,A,0.148969367146492,286.3096320759878,207.81671203359966,0.7258460378253856,189.0169461023272
sample_000087,A,0.1710706502199173,258.7786060272157,167.30774493481968,0.6465285036631814,187.07805980151286
sample_000088,A,0.6077303290367126,398.8201695030555,200.6861635917425,0.5031996346669347,242.11379741059383
sample_000089,A,0.7697175145149231,383.0082278119028,236.25287677045912,0.6168349910396287,250.3544927190756
sample_000090,A,0.4378739297389984,332.20111052747814,191.80327897533772,0.5773709746809309,220.49793043842308
sample_000091,A,0.3263633847236633,358.17011781331155,185.96275342702864,0.5192023124719682,208.75721507067325
sample_000092,A,0.3867529928684234,325.5727597282827,178.48620287835595,0.5482221640020418,236.20754797767614
sample_000093,A,0.3419096171855926,338.09535388614984,159.86040942132473,0.47282640114349545,200.637739038805
sample_000094,A,0.568730354309082,198.3665832161531,121.29173544883727,0.6114524608041967,158.90239763446152
sample_000095,A,0.2108186483383178,258.64840070664883,178.38973446842283,0.6896997390320114,206.2641026299284
sample_000096,A,0.4362670183181762,223.04422140583398,149.15214872863143,0.6687111093420607,172.2964615369565
sample_000097,A,0.5043784976005554,303.6511464589835,108.5291283415258,0.3574138599742968,155.06855192850807
